Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,HomeScore,AwayScore,HomeXg,AwayXg,SimulatedHomeProbability,SimulatedDrawProbability,SimulatedAwayProbability,538HomeProbability,538DrawProbability,538AwayProbability,ProbabilityOfGame,DatabaseGameId,FinalResult,HomeTeamAveragePoints,HomeTeamAvgPointsLast5,AwayTeamAveragePoints,AwayTeamAveragePointsLast5,AwayTeamPointsAgainstOpponentLast2Seasons,HomeTeamAverageGoals,AwayTeamAverageGoals,HomeTeamAvgXgFor,AwayTeamAvgXgFor,HomeTeamAvgXgAgainst,AwayTeamAvgXgAgainst,HomeTeamFormXgFor,AwayTeamFormXgFor
2.75,3.3,2.8,0,0,1.92702,0.230358,0.790220251564134,0.172936999828949,0.03684181445311,0.3102,0.2559,0.4339,1,3657,1,1.71428571428571,1.6,2.71428571428571,2.6,2,1.85714285714286,3,2.08432942857143,2.43782428571429,1.32512414285714,0.744274285714286,0.692493515201823,0.783803777400716
3.1,3.3,2.5,1,1,0.70219,0.835192,0.281046045216941,0.360702311781602,0.358251642874124,0.4492,0.2828,0.268,1,3658,1,1.71428571428571,1.8,1,1.4,3,1,1,0.589251714285714,0.900371857142857,1.36040271428571,1.25324714285714,-0.655647792451986,-0.223645615511068
8,4.75,1.44,2,1,1.51873,0.651919,0.582662143004517,0.258301345007676,0.159036434072087,0.1498,0.2108,0.6394,1,3659,0,0,0,1.85714285714286,2,1.5,0,1.71428571428571,1.021854,1.096012,2.32817885714286,0.779536,-0.214259984431966,-0.007514084008789
1.13,11,21,7,2,4.45388,0.681236,0.936730765682244,0.042843901696591,0.018210879772533,0.8492,0.1146,0.0362,1,3660,0,2.71428571428571,3,1.14285714285714,1,1,3.14285714285714,1,2.58717857142857,0.949457285714285,0.611874857142857,1.52205657142857,1.55719050902507,0.114443794889323
2,3.4,4.33333333333333,2,0,1.65446,0.596086,0.631714054097506,0.237819934992549,0.130465818697732,0.5134,0.299,0.1876,1,3661,0,0.714285714285714,0.8,1.28571428571429,0.6,1.25,0.428571428571429,0.714285714285714,0.714805,0.724074857142857,1.51538657142857,1.01698314285714,-0.506015801839193,-0.707138940991211
1.22,7.5,13,1,0,1.95684,0.17504,0.81044990812576,0.162854052083248,0.026694946761535,0.806,0.1425,0.0515,1,3662,0,2,2.2,0.571428571428571,0.8,0.25,2,0.571428571428571,1.68380142857143,0.759582,0.616975857142857,1.61353485714286,0.371883372753906,-0.412830544576009
4.75,4.2,1.73,2,1,0.873011,0.988468,0.30817573983066,0.321427798799406,0.370396460454483,0.2227,0.2252,0.5521,1,3663,0,1.71428571428571,1.6,1.85714285714286,2,2.25,1.57142857142857,1.57142857142857,1.27139457142857,1.77917942857143,1.51200285714286,1.15856985714286,0.068426781551107,0.707889168155925
3.2,3.1,2.55,1,1,1.05884,0.694013,0.437068152382312,0.325983553040894,0.236948292996665,0.2978,0.2936,0.4087,1,3664,1,1,1.4,1,0.6,1.25,0.714285714285714,0.571428571428571,0.502358,1.00086271428571,1.448954,1.15123071428571,-0.741551364888509,0.031630402237956
1.85,3.6,4.75,2,2,0.953278,0.950997,0.341714940832928,0.317788959261529,0.340496098939566,0.4999,0.2854,0.2146,1,3665,1,1.14285714285714,0.8,1.42857142857143,2,0.5,0.714285714285714,1,1.04412357142857,1.38729171428571,1.29399514285714,1.06904085714286,-0.266230285042318,-0.138443303031413
2,3.4,4.33333333333333,1,1,0.964277,0.155254,0.563918298069236,0.377126092620762,0.058955608753993,0.5163,0.272,0.2118,1,3666,1,0.714285714285714,0.4,1.28571428571429,0.6,1,1.28571428571429,0.857142857142857,1.115559,1.00948028571429,1.38717914285714,0.950244142857143,-0.219275682706706,-0.213483581599935
1.8,3.6,5.25,0,3,0.569111,1.22228,0.172809664410608,0.30448450203377,0.522705826006295,0.5538,0.27,0.1763,1,3667,2,1,1.6,1,1.4,1.25,1,0.75,0.892224375,0.57191825,1.184365,1.354586375,-0.299036890204729,-0.57926120223781
1.36,5.25,9.5,4,2,1.78315,1.79693,0.387197553488774,0.220009838396688,0.392791733568811,0.7637,0.1607,0.0756,1,3674,0,1.625,1.4,1.875,2,0.5,1.625,1.625,1.040500375,1.221596625,0.87193525,1.446561,-0.424700527292306,-0.020069628122384
10,4.75,1.39,2,1,1.26744,0.807135,0.472060395887521,0.290939291326148,0.23700030151801,0.0884,0.1954,0.7162,1,3668,0,1.125,0.4,2.5,2.2,1.25,0.625,2.625,0.70807625,2.161891,1.09666775,0.8921175,-0.760179348600551,0.314161297336252
1.11,11,26,3,0,2.95695,0.14859,0.924342984950944,0.066758897481098,0.008835694176472,0.8536,0.113,0.0334,1,3669,0,2.75,3,1.625,1.8,0,3.625,1,2.82051625,0.603369,0.620545,1.294751375,1.90084873891166,-0.629500130053275
